feature,importance
hist_packet_len_min,0.06961280196658819
hist_https_port_ratio,0.05201827448439164
hist_udp_ratio,0.04773695439692499
hist_packet_len_max,0.046419290258488594
hist_payload_entropy_mean,0.04014099735942209
hist_packet_len_mean,0.037161215303366725
hist_well_known_dst_port_ratio,0.037089427208790576
hist_payload_len_mean,0.035164149845293265
hist_total_bytes,0.03444283343774031
hist_tcp_ratio,0.03295570724238638
hist_unique_peer_ip_count,0.031031295752302644
cur_payload_entropy,0.028724573659512663
cur_packet_len,0.028459232212271927
hist_packet_len_std,0.026414058279936703
cur_delta_t,0.02473170391848267
hist_payload_entropy_std,0.02408341125449555
rel_iat_zscore,0.02353297380263012
rel_iat_ratio,0.023020950681979558
hist_payload_len_std,0.022389201275100676
rel_iat_diff,0.021934175437887737
rel_entropy_diff,0.021620767575674153
cur_payload_len,0.0212476266440286
rel_pktlen_ratio,0.021008743673157592
hist_pkt_count,0.018796958839035854
hist_packet_count_actual,0.018136670292173487
hist_iat_max,0.01708136366809284
hist_byte_rate,0.016717204486498494
cur_ip_proto,0.016697074841912726
rel_pktlen_zscore,0.016573557824485136
hist_duration_actual,0.016553294811772156
hist_window_ratio,0.01503807672938772
rel_pktlen_diff,0.01450257444245892
rel_payloadlen_diff,0.014270994802105419
rel_payloadlen_zscore,0.01314878873341164
hist_iat_mean,0.01313767058873865
cur_tcp_ack,0.013002403443193417
hist_packet_rate,0.011091478417318022
hist_iat_std,0.009356996363596572
hist_stage,0.008147499784267629
anchor_gap,0.0074682245018726535
rel_dst_port_in_topk,0.0032614164497988224
cur_tcp_psh,0.0025282101720772955
rel_protocol_match,0.002112098257408665
rel_direction_match,0.0009614331690143883
cur_tcp_fin,0.00032171100793613767
cur_tcp_syn,0.00015393270259005207
cur_direction,0.0
