group,model,accuracy,macro_f1,weighted_f1
A,rf,0.17086333333333334,0.14392405632865526,0.14392405632865526
A,xgb,0.10892333333333333,0.09684135857738203,0.09684135857738205
B,rf,0.04139433551198257,0.02981932830613777,0.02165707883392557
B,xgb,0.1328976034858388,0.1471717940308067,0.10775678861138191
C,rf,0.27733734738250543,0.21910627381790704,0.21914541422555536
C,xgb,0.21233391827525697,0.1332100328337049,0.1331661295597267
D,lstm,0.36952667670178957,0.29570879584367565,0.2956896599745085
D,gru,0.31480180632212745,0.2251695891969356,0.22526010047507533
E0,rf,0.17403623890835881,0.16102636596762496,0.20584856765135784
E0,xgb,0.1934978748788308,0.15300924038410899,0.24234151616877497
E1,rf,0.34951456310679613,0.21751512086580238,0.39115112020314996
E1,xgb,0.26980071538068473,0.21346674214950587,0.3280752211429224
